"","Selphius","Daria Zawia³ow","TheFatRat","DREAMCATCHER","Lucian","Lindsey Stirling","The Tech Thieves","Caravan Palace","Taco Hemingway","Beltaine","Elderbrook","Besomorph","Lucky Luke","Jeff Williams","Sarsa","Mata","Nippandab","Sabaton","Mystery Skulls","Roksana Wêgiel","Lao Che","Grimes","League of Legends","Ellis","BLACKPINK","MELVV","Mothica","Mery Spolsky","8 Graves","Xxanaxx","XYLO","Amaranthe","The Dumplings","LEA","Unlike Pluto","Lastlings","Jacek Stachursky","Mêskie Granie Orkiestra 2018","grandson","Glass Animals","Dawid Podsiad³o","Rammstein","schafter","AViVA","Halsey","Gianni Blu","EGOIST","K/DA","AmaLee","Linia Nocna","Mata","Ben E. King","Karolina Czarnecka","Taco Hemingway","COIN","Dawid Podsiad³o","Alexandra Burke","Daria Zawia³ow","schafter","Jan-Rapowanie","Ed Sheeran","White 2115","Bitamina","Boney M.","Quebonafide","The Weeknd","sanah","Bastille","Malik Montana","Sam Smith","PRO8L3M","Tymek","Billie Eilish","Mêskie Granie Orkiestra 2018","Green Day","Bedoes","Imagine Dragons","TACONAFIDE","Dua Lipa","PlanBe","Kwiat Jab³oni","Post Malone","James Bay","Miley Cyrus","Shawn Mendes","Maroon 5","BARANOVSKI","Milky Chance","The Dumplings","Gromee","Viki Gabor","Capital Cities","Ariana Grande","TOTO","Gedz","Saint Motel","Bea Miller","Young Igi","Lanberry","chillwagon","Imagine Dragons","Taco Hemingway","Karolina Czarnecka","Lady Gaga","Nosowska","Sia","Mery Spolsky","Quebonafide","P!nk","Miley Cyrus","Billie Eilish","Twenty One Pilots","Lana Del Rey","Imany","TACONAFIDE","Ed Sheeran","Rosalie.","Dawid Podsiad³o","Panic! At The Disco","AURORA","Dua Lipa","Kasia Lins","Macklemore","Ofelia","Brodka","Avicii","sanah","OneRepublic","Natalia Nykiel","Ralph Kaminski","Krzysztof Zalewski","Kwiat Jab³oni","ROSALÍA","Coldplay","Bedoes","Mata","Thirty Seconds To Mars","Doda","Perfect","Natalia Przybysz","Ariana Grande","Piotr Rubik","Sylwia Grzeszczak","Calvin Harris","Margaret","Drake","The Dumplings","Halsey","Otsochodzi","Natalia Kukulska"
"1","Jinja","Bitamina","Elektronomia","Apink","Kaivon","Simply Three","Layto","The Correspondents","TACONAFIDE","Percival Schuttenbach","Hayden James","Layto","Kaan Pars","Trocadero","Lanberry","SB Maffija","NIB","Blind Guardian","Ken Ashcorp","Sarsa","Spiêty","Purity Ring","Mischa ""Book"" Chillak","inverness","MAMAMOO","Tim Legend","Pusher","Xxanaxx","Bryce Fox","Bovska","Transviolet","The Unguided","Bitamina","Wincent Weiss","Prismo","JOY.","Long & Junior","Organek","Bryce Fox","Electric Guest","Ralph Kaminski","Lindemann","Otsochodzi","Layto","Troye Sivan","Voost","Tia","Moon Byul","Lizz Robinett","Sonbird","SB Maffija","Jackie Wilson","Bovska","TACONAFIDE","Colony House","Ralph Kaminski","Alesha Dixon","Bitamina","Otsochodzi","Deys","Shawn Mendes","BLACHA","Ralph Kaminski","Baccara","Adi Nowak","Frank Ocean","Margaret","X Ambassadors","Young Igi","James TW","Otsochodzi","Smolasty","Lorde","Organek","Sum 41","Young Igi","American Authors","Otsochodzi","Rita Ora","Siles","Ralph Kaminski","Rae Sremmurd","James TW","Selena Gomez","ZAYN","OneRepublic","Grzegorz Hyzy","Lewis Del Mar","Bitamina","Lanberry","Roksana Wêgiel","Atlas Genius","Camila Cabello","Chicago","Dwa S³awy","Atlas Genius","Hey Violet","Young Multi","Monika Lewczuk","Qry","American Authors","TACONAFIDE","Bovska","Carly Rae Jepsen","Maria Peszek","Lorde","Xxanaxx","Adi Nowak","Kelly Clarkson","Selena Gomez","Lorde","X Ambassadors","MARINA","Irma","Otsochodzi","Shawn Mendes","Linia Nocna","Ralph Kaminski","Fall Out Boy","Askjell","Rita Ora","Daria Zawia³ow","Macklemore & Ryan Lewis","Kasia Lins","Ania Dabrowska","Afrojack","Margaret","The Script","Lanberry","Bitamina","Artur Rojek","Ralph Kaminski","Mala Rodríguez","Keane","Young Igi","SB Maffija","Muse","Kasia Cerekwicka","IRA","Piotr Ziola","Camila Cabello","Ania Wyszkoni","Ania Wyszkoni","David Guetta","Mike Hammer","Big Sean","Bitamina","Troye Sivan","Adi Nowak","Kasia Cerekwicka"
"2","Freakso","Sonbird","Jim Yosef","CLC","Hotel Garuda","Escala","Mia Vaile","Swing Republic","Otsochodzi","Solas","SNBRN","TOMYGONE","KVPV","Miracle Of Sound","Monika Lewczuk","schafter","NALYRO","DragonForce","Studio Killers","Viki Gabor","Hey","Perfume Genius","Hidden Citizens","Nonsens","TWICE","Hotel Garuda","XYLO","Bovska","Adam Jensen","BOWNIK","Luna Shadows","Delain","Piotr Ziola","LOTTE","Bishu","Nyxen","Boys","Curly Heads","Barns Courtney","Lewis Del Mar","Piotr Ziola","OOMPH!","Jan-Rapowanie","Besomorph","Camila Cabello","Panuma","ClariS","(G)I-DLE","NateWantsToBattle","Bovska","schafter","Percy Sledge","Mister D.","Otsochodzi","Bad Suns","Piotr Ziola","The Saturdays","Sonbird","Jan-Rapowanie","Zeamsone","James Arthur","Wac Toja","Piotr Ziola","Ottawan","Otsochodzi","A$AP Rocky","Viki Gabor","American Authors","Wac Toja","Alessia Cara","KêKê","C0PIK","King Princess","Curly Heads","Good Charlotte","SB Maffija","WALK THE MOON","Taco Hemingway","Selena Gomez","be vis","Albo Inaczej","Huncho Jack","Gavin James","Demi Lovato","Liam Payne","The Script","Micha³ Szczygie³","FIL BO RIVA","Piotr Ziola","Sylwia Grzeszczak","Gromee","St. Lucia","Fifth Harmony","Huey Lewis & The News","Bia³as","Joywave","Madison Beer","BLACHA","Sarsa","Trill Pem","WALK THE MOON","Otsochodzi","Mister D.","Lorde","Hey","Ellie Goulding","Bovska","Otsochodzi","Leona Lewis","Demi Lovato","King Princess","Neon Trees","Lykke Li","Brigitte","Taco Hemingway","James Arthur","Xxanaxx","Piotr Ziola","I DONT KNOW HOW BUT THEY FOUND ME","Susanne Sundfor","Selena Gomez","BOWNIK","Classified","Têskno","Maria Peszek","Alesso","Viki Gabor","The Fray","Monika Lewczuk","Piotr Ziola","Organek","Albo Inaczej","DELLAFUENTE","Bastille","SB Maffija","schafter","Imagine Dragons","Virgin","T.Love","Ralph Kaminski","Fifth Harmony","Ryszard Rynkowski","Mrozu","Jonas Blue","Linda Ross","J. Cole","Piotr Ziola","Camila Cabello","TACONAFIDE","Kasia Kowalska"
"3","Frozen Starfall","Piotr Ziola","Diviners","Lovelyz","Arman Cekin","Hidden Citizens","TeZATalks","Lyre Le Temps","Adi Nowak","Lothlorien","Disciples","Far Out","LIZOT","Ken Ashcorp","Marta Ga³uszewska","Jan-Rapowanie","Toni Leys","HammerFall","TWRP","Zuza Jab³oñska","Pid¿ama Porno","Cults","Pentakill","Duumu","(G)I-DLE","Prince Fox","Kailee Morgue","Julia Wieniawa","Cemetery Sun","Mery Spolsky","machineheart","Unleash The Archers","Ralph Kaminski","Mike Singer","Neovaii","LANKS","Ich Troje","Mêskie Granie Orkiestra","Adam Jensen","NoMBe","Domowe Melodie","Emigrate","Adi Nowak","Inova","Fifth Harmony","GAB","MYTH & ROID","Hwa Sa","Dima Lancaster","Xxanaxx","Jan-Rapowanie","The Drifters","Mery Spolsky","Adi Nowak","Vacation Manor","Domowe Melodie","Pixie Lott","Piotr Ziola","Adi Nowak","Guzior","James TW","Young Igi","BOWNIK","Modern Talking","PRO8L3M","Childish Gambino","Sarsa","WALK THE MOON","Kaz Ba³agane","James Bay","Adi Nowak","PlanBe","Melanie Martinez","Mêskie Granie Orkiestra","Billy Talent","White 2115","OneRepublic","Deys","Years & Years","Wiatr","Mikromusic","Tyla Yaweh","Rhys Lewis","Selena Gomez & The Scene","Niall Horan","Train","Mêskie Granie Orkiestra 2018","Von Wegen Lisbeth","Ralph Kaminski","Grzegorz Hyzy","Cleo","Penguin Prison","Selena Gomez","REO Speedwagon","Bisz","Bad Suns","Maggie Lindemann","Malik Montana","Marta Ga³uszewska","Deemz","OneRepublic","Adi Nowak","Mery Spolsky","Kesha","Czes³aw Œpiewa","Years & Years","Julia Wieniawa","PRO8L3M","Natasha Bedingfield","Selena Gomez & The Scene","Melanie Martinez","Panic! At The Disco","Lorde","Yodelice","Deys","James TW","Albo Inaczej","Domowe Melodie","My Chemical Romance","Highasakite","Years & Years","Bovska","SonReal","Lor","Kasia Kowalska","Swedish House Mafia","Sarsa","American Authors","Julia Wieniawa","Kortez","Brodka","Mikromusic","C. Tangana","OneRepublic","White 2115","Jan-Rapowanie","AWOLNATION","Patrycja Markowska","Lady Pank","Domowe Melodie","Selena Gomez","£zy","Jula","Sigala","Jilly","Wale","Ralph Kaminski","Fifth Harmony","Jan-Rapowanie","Beata Kozidrak"
"4","Cepheid","Bovska","Tobu","EXID","Mazde","Peter Hollens","Inova","Tape Five","Guzior","¯ywio³ak","Autograf","AViVA","TRFN","Alex Abraham","Micha³ Szczygie³","Bia³as","Starcat","Powerwolf","Shawn Wasabi","Roxie","Strachy Na Lachy","HEALTH","K/DA","Justin OH","Hwa Sa","Lucian","VÉRITÉ","Karolina Czarnecka","Bohnes","BOKKA","VÉRITÉ","Battle Beast","BOKKA","Philipp Dittberner","KLOUD","Running Touch","Video","BARANOVSKI","Bohnes","Coast Modern","Organek","Marilyn Manson","Fukaj","TeZATalks","Julia Michaels","Nalestar","CHiCO with HoneyWorks","SUNMI","dj-Jo","Mery Spolsky","Bia³as","Wilson Pickett","Xxanaxx","Guzior","Night Riots","Organek","Girls Aloud","Bovska","Fukaj","Wac Toja","Sam Smith","Malik Montana","Kortez","Goombay Dance Band","Sarius","Jhené Aiko","BARANOVSKI","The Mowgli's","Sir Mich","Jess Glynne","Rasmentalism","Trill Pem","Troye Sivan","BARANOVSKI","The Offspring","Szpaku","Bastille","Adi Nowak","Ellie Goulding","Deemz","Daria Zawia³ow","Quality Control","Tom Odell","Kesha","Bazzi","DNCE","Kortez","Coast Modern","BOKKA","Natalia Szroeder","Lanberry","The Knocks","ZAYN","Ambrosia","Sitek","The Mowgli's","Julia Michaels","Wac Toja","Natalia Nykiel","Oki","Bastille","Guzior","Xxanaxx","Miley Cyrus","Renata Przemyk","Jessie J","Karolina Czarnecka","Sarius","Gwen Stefani","Kesha","Troye Sivan","AWOLNATION","Azealia Banks","Lou Doillon","Adi Nowak","Sam Smith","Rasmentalism","Organek","Paramore","Emilie Nicolas","Ellie Goulding","Patrick the Pan","Hoodie Allen","Sonbird","Artur Rojek","Nicky Romero","BARANOVSKI","Neon Trees","Sarsa","Domowe Melodie","Kortez","Daria Zawia³ow","Paloma Mami","Tom Odell","Szpaku","Bia³as","Fall Out Boy","Edyta Gorniak","Wilki","Kortez","ZAYN","Urszula","Feel","Martin Jensen","DJ NRG","Jeremih","BOKKA","Julia Michaels","Deys","Ania Wyszkoni"
"5","Neotokio3","Julia Pietrucha","Unknown Brain","ASTRO","Vanic","David Garrett","Neovaii","Parov Stelar","Young Igi","Sowulo","JYYE","EBEN","Gaullin","Starbomb","Dawid Kwiatkowski","Otsochodzi","Scott Rill","Sonata Arctica","SIAMES","AniKa D¹browska","Republika","Crystal Castles","True Damage","Glacier","SUNMI","Manila Killa","Transviolet","Ralph Kaminski","MISSIO","Bitamina","Evalyn","The Dark Element","Kortez","JORIS","Slippy","The Kite String Tangle","Nowator","Sonbird","Tribe Society","Local Natives","Kortez","Static-X","Trill Pem","Arrested Youth","Zara Larsson","Tom Ferry","Konomi Suzuki","LOO<U+03A0><U+0394> / ODD EYE CIRCLE","Lollia","Julia Wieniawa","Otsochodzi","Brook Benton","Julia Wieniawa","Young Igi","CRUISR","Kortez","Sugababes","Julia Pietrucha","Trill Pem","Adi Nowak","Charlie Puth","Jan-Rapowanie","The Dumplings","Dschinghis Khan","Deys","Miguel","Lanberry","Of Monsters and Men","Jan-Rapowanie","Rita Ora","Quebonafide","BLACHA","Halsey","Sonbird","Billie Joe Armstrong","¯abson","X Ambassadors","Kuban","Fifth Harmony","Kubi Producent","The Dumplings","Metro Boomin","George Ezra","Hannah Montana","Camila Cabello","Jason Mraz","Piotr Ziola","Leoniden","Kortez","Sarsa","Margaret","Foster The People","Alessia Cara","Foreigner","Gruby Mielzky","Grouplove","Ellise","White 2115","Grzegorz Hyzy","Kabe","X Ambassadors","Young Igi","Julia Wieniawa","MARINA","Artur Rojek","Zara Larsson","Ralph Kaminski","Deys","Jessie J","Hannah Montana","Halsey","I DONT KNOW HOW BUT THEY FOUND ME","WILLOW","Hindi Zahra","Kuban","Charlie Puth","Kasia Lins","Kortez","All Time Low","Sigrid","Fifth Harmony","Bitamina","Chiddy Bang","Bovska","Kayah","Hardwell","Lanberry","Phillip Phillips","Bovska","Sonbird","Mêskie Granie Orkiestra","The Dumplings","Ms Nina","Ellie Goulding","¯abson","Otsochodzi","Foo Fighters","Ania Wyszkoni","Elektryczne Gitary","Bitamina","Alessia Cara","Virgin","Virgin","Cheat Codes","Edo","Meek Mill","Kortez","Zara Larsson","Guzior","Edyta Gorniak"
"6","dj-Jo","Ralph Kaminski","Nitro Fun","AOA","SMLE","The Piano Guys","SAMAHTA","Bart & Baker","Kartky","Rapalje","Le Youth","Egzod","Dynoro","RichaadEB","Natalia Nykiel","Oki","DG812","Alestorm","James Landino","Cleo","Czes³aw Œpiewa","John Maus","Seraphine","Dexter King","K/DA","Louis Futon","Luna Shadows","Daria Zawia³ow","SAINT PHNX","Flirtini","EZI","Dead by April","Domowe Melodie","Alexa Feser","Lost Sky","Kita Alexander","Bayer Full","Piotr Ziola","8 Graves","Goth Babe","Bitamina","Megaherz","Oki","Unlike Pluto","Melanie Martinez","TRU Concept","ASCA","MAMAMOO","Sapphire","Daria Zawia³ow","Oki","The Shirelles","Domowe Melodie","Kartky","Vinyl Theatre","Bitamina","Alexis Jordan","Ralph Kaminski","Oki","Kaz Ba³agane","Hailee Steinfeld","Young Multi","Domowe Melodie","Smokie","Sir Mich","Big Sean","Gromee","Other People's Heartache","Guzior","Calum Scott","Kuban","Deemz","girl in red","Piotr Ziola","Simple Plan","Reto","Twenty One Pilots","Kartky","Camila Cabello","Solar","Artur Rojek","Migos","JP Cooper","Avril Lavigne","Alessia Cara","Hailee Steinfeld","Daria Zawia³ow","Portugal. The Man","Domowe Melodie","Mrozu","Sarsa","Saint Motel","Demi Lovato","Mr. Mister","W.E.N.A.","Smallpools","Jaira Burns","Zeamsone","Micha³ Szczygie³","Wac Toja","Twenty One Pilots","Kartky","Domowe Melodie","Troye Sivan","Gaba Kulka","Adele","Daria Zawia³ow","Sir Mich","The Pussycat Dolls","Avril Lavigne","girl in red","Palaye Royale","Grimes","Cocoon","Kartky","Hailee Steinfeld","Natalia Przybysz","Bitamina","The All-American Rejects","Skott","Camila Cabello","MaJLo","Watsky","Kaœka Sochacka","Nosowska","Zedd","Gromee","Parachute","Daria Zawia³ow","Organek","Piotr Ziola","Artur Rojek","Bad Gyal","The 1975","Reto","Oki","Twenty One Pilots","Kasia Kowalska","Republika","Julia Pietrucha","Demi Lovato","Beata Kozidrak","Ewa Farna","Jax Jones","Lou Grant","DJ Khaled","Domowe Melodie","Melanie Martinez","PRO8L3M","Patrycja Markowska"
"7","Execute","Kortez","Different Heaven","fromis_9","Taska Black","Eklipse","Arrested Youth","Kormac","KêKê","Deanta","Lane 8","Lost Sky","Rompasso","Ok Goodnight","Grzegorz Hyzy","Gedz","DYNAX","Lordi","Lemon Demon","Sylwia Lipka","Kazik","Slayyyter","Unknown Brain","CloudNone","Red Velvet","Big Wild","Carlie Hanson","Linia Nocna","grandson","Piotr Ziola","Skott","Orden Ogan","Daria Zawia³ow","Madeline Juno","Unknown Brain","Vera Blue","Bolter","Daria Zawia³ow","SAINT PHNX","Rainbow Kitten Surprise","Mêskie Granie Orkiestra","Eisbrecher","Kubi Producent","SAMAHTA","Madison Beer","Damaui","Luna Haruna","LOONA","Jeff Williams","Piotr Ziola","Gedz","Smokey Robinson & The Miracles","Daria Zawia³ow","KêKê","Grizfolk","Mêskie Granie Orkiestra","Leona Lewis","Kortez","Kubi Producent","Otsochodzi","Calum Scott","Guzior","Daria Zawia³ow","Bad Boys Blue","Guzior","Drake","Daria Zawia³ow","Tom Grennan","Young Multi","James Arthur","TACONAFIDE","Gedz","Julia Michaels","Daria Zawia³ow","The All-American Rejects","Trill Pem","fun.","Sarius","Zara Larsson","Deys","Domowe Melodie","6LACK","Noah Kahan","Fifth Harmony","DNCE","The Fray","Ania Karwan","Vance Joy","Daria Zawia³ow","Komodo","BARANOVSKI","Joywave","Hailee Steinfeld","Kenny Loggins","VNM","Wild Party","Olivia O'Brien","Adi Nowak","Natalia Szroeder","Olszakumpel","fun.","KêKê","Daria Zawia³ow","Katy Perry","Voo Voo","Tove Lo","Linia Nocna","Guzior","Christina Aguilera","Fifth Harmony","Julia Michaels","Young the Giant","Allie X","Moriarty","Sarius","Calum Scott","Paulina Przybysz","Mêskie Granie Orkiestra","Mayday Parade","Allie X","Zara Larsson","Julia Pietrucha","Lil Dicky","Linia Nocna","Anita Lipnicka","Axwell /\ Ingrosso","Daria Zawia³ow","Lifehouse","Marta Ga³uszewska","The Dumplings","Mêskie Granie Orkiestra 2018","Domowe Melodie","Nathy Peluso","Kodaline","Trill Pem","Gedz","Arctic Monkeys","Gosia Andrzejewicz","Lombard","Organek","Hailee Steinfeld","Patrycja Markowska","Video","Lost Frequencies","Kelly Wright","Rick Ross","Daria Zawia³ow","Madison Beer","Wac Toja","Urszula"
"8","N i i","The Dumplings","Teminite","KARD","Not Your Dope","Two Steps from Hell","Prismo","Dirty Honkers","Sarius","Lúnasa","Gorgon City","KLOUD","Dwin","Little V.","Ania Karwan","¯abson","Ozlig","Van Canto","bo en","4Dreamers","Voo Voo","Charli XCX","Prismo","Terry Zhong","LOONA","pluko","Xana","Kasia Lins","Arrested Youth","Ralph Kaminski","Phoebe Ryan","Sonic Syndicate","Organek","Nico Santos","Layto","Tia Gostelow","Mig","Ralph Kaminski","Oh The Larceny","Big Wild","Mêskie Granie Orkiestra 2018","Rob Zombie","TUZZA Globale","Bohnes","Hailee Steinfeld","Maff Boothroyd","Eir Aoi","HYO","RichaadEB","BARANOVSKI","¯abson","The Righteous Brothers","Linia Nocna","Sarius","flor","Mêskie Granie Orkiestra 2018","Nicole Scherzinger","The Dumplings","TUZZA Globale","Kartky","Liam Payne","Zeamsone","Organek","Demis Roussos","Wac Toja","Wale","Smolasty","Scouting For Girls","White 2115","Ella Henderson","Taco Hemingway","be vis","Alessia Cara","Ralph Kaminski","Bowling For Soup","Gedz","The Script","Zeamsone","Jess Glynne","Przy³u","Sonbird","NAV","Declan J Donovan","Jonas Brothers","Fifth Harmony","Charlie Puth","Linia Nocna","alt-J","Organek","C-BooL","Zuza Jab³oñska","Miami Horror","Zara Larsson","Richard Marx","Deys","St. Lucia","Charlotte Lawrence","Guzior","Julia Wieniawa","Alberto","The Script","Sarius","Linia Nocna","Ellie Goulding","Edyta Bartosiewicz","Anne-Marie","Kasia Lins","Wac Toja","Jordin Sparks","Jonas Brothers","Alessia Cara","American Authors","Charli XCX","Jehro","Zeamsone","Liam Payne","Vito Bambino","Mêskie Granie Orkiestra 2018","We The Kings","No. 4","Jess Glynne","Piotr Ziola","Sammy Adams","Sorry Boys","Natalia Kukulska","Galantis","Smolasty","Gavin DeGraw","Grzegorz Hyzy","Pawe³ Domaga³a","Fisz Emade Tworzywo","Sonbird","La Zowi","Oasis","Gedz","¯abson","The Neighbourhood","Ewa Farna","Breakout","The Dumplings","Zara Larsson","Maryla Rodowicz","Patrycja Markowska","Kungs","Annalise","2 Chainz","Organek","Hailee Steinfeld","Kuban","Bajm"
"9","Dima Lancaster","Organek","K-391","OH MY GIRL","DROELOE","Taylor Davis","Arc North","Smokey Joe & The Kid","Wac Toja","Damh The Bard","Nora En Pure","Mickey Valen","Fella","Lollia","Sylwia Grzeszczak","Young Igi","Blaze U","Demons & Wizards","TeddyLoid","Natalia Szroeder","Buldog","Chromatics","Lost Sky","Protostar","MOMOLAND","Attom","bülow","Domowe Melodie","UNSECRET","The Dumplings","Elohim","Kamelot","Bovska","ELIF","Aero Chord","Golden Features","Krzysztof Krawczyk","The Dumplings","The Unlikely Candidates","Joywave","The Dumplings","Hämatom","Solar","MISSIO","Bea Miller","Mack & Diesel","H<U+25B3>G","Jamie","Romix","BOWNIK","Young Igi","The Platters","Kasia Lins","Wac Toja","Smallpools","The Dumplings","JLS","Organek","Solar","Sarius","The Vamps","Kaz Ba³agane","Sonbird","C.C. Catch","TACONAFIDE","J. Cole","Pawe³ Domaga³a","Kodaline","BLACHA","Zara Larsson","Sir Mich","Wac Toja","Bea Miller","The Dumplings","blink-182","Bia³as","AWOLNATION","KêKê","Alessia Cara","Beteo","Bitamina","Quavo","James Morrison","Carly Rae Jepsen","Zara Larsson","Andy Grammer","Sonbird","Rainbow Kitten Surprise","Bovska","BARANOVSKI","C-BooL","Passion Pit","Julia Michaels","Steve Winwood","Bonson","Jukebox The Ghost","Kiiara","Otsochodzi","Dawid Kwiatkowski","Gedz","AWOLNATION","Wac Toja","Kasia Lins","Jessie J","Mikromusic","Bebe Rexha","Domowe Melodie","TACONAFIDE","Fergie","Carly Rae Jepsen","Bea Miller","Grouplove","Sky Ferreira","Camélia Jordana","KêKê","The Vamps","Bovska","The Dumplings","Anarbor","Fleurie","Alessia Cara","The Dumplings","Mike Posner","Ralph Kaminski","Mikromusic","Martin Garrix","Pawe³ Domaga³a","Owl City","Natalia Szroeder","Fisz Emade Tworzywo","Ralph Kaminski","Bitamina","Tomasa del Real","Hozier","Bia³as","Young Igi","The Killers","Feel","Maanam","Mêskie Granie Orkiestra","Julia Michaels","Feel","Doda","The Chainsmokers","Alexis","PARTYNEXTDOOR","Bovska","Bea Miller","Kartky","Maryla Rodowicz"
"10","FalKKonE","Julia Wieniawa","Axel Johansson","Weki Meki","Just A Gent","2CELLOS","Vanic","Chinese Man","Malik Montana","Prima Nocta","Y.V.E. 48","Hopex","LIUFO","Crush 40","Natalia Szroeder","Deemz","Leo Salom","Turisas","PrototypeRaptor","Dawid Kwiatkowski","Swietliki","iamamiwhoami","Unlike Pluto","Bad Computer","TREASURE","Win and Woo","DeathbyRomy","The Dumplings","Tribe Society","Daria Zawia³ow","Kailee Morgue","Beyond The Black","Xxanaxx","Michael Patrick Kelly","Rootkit","Crooked Colours","Kombi","Fisz Emade Tworzywo","MISSIO","Sylvan Esso","Daria Zawia³ow","Apocalyptica","Gedz","The Tech Thieves","Alessia Cara","Beave","KISIDA KYODAN & THE AKEBOSI ROCKETS","TWICE","Caleb Hyles","Kasia Lins","Deemz","The Coasters","Natalia Nykiel","Malik Montana","courtship.","Daria Zawia³ow","Jamelia","Julia Wieniawa","Gedz","Malik Montana","Niall Horan","Deys","Xxanaxx","Village People","Young Igi","Kanye West","Kamil Bednarek","BANNERS","Zeamsone","Anne-Marie","Kartky","Kartky","Madison Beer","Fisz Emade Tworzywo","zebrahead","Deemz","Kodaline","Guzior","Ava Max","Zeamsone","Mela Koteluk","Fetty Wap","The Mayries","Bridgit Mendler","Troye Sivan","Bruno Mars","Sarsa","Grouplove","Xxanaxx","Robert M","Smolasty","Empire of the Sun","Madison Beer","Mike & The Mechanics","Kuban","CRUISR","Gabbie Hanna","Kartky","Kaœka Sochacka","Kizo","Kodaline","Malik Montana","Natalia Nykiel","Kim Petras","Myslovitz","Alessia Cara","The Dumplings","Young Igi","Sugababes","Bridgit Mendler","Madison Beer","half•alive","FKA twigs","Ay<U+1ECD>","Guzior","Niall Horan","Sorry Boys","Daria Zawia³ow","The Cab","Billie Marten","Ava Max","Xxanaxx","E-Dubble","KARAŒ/ROGUCKI","Hey","Mike Perry","Kamil Bednarek","Maroon 5","Mery Spolsky","Daria Zawia³ow","Hey","Mela Koteluk","Cruz Cafuné","George Ezra","Deemz","Deemz",NA,"Beata Kozidrak","Budka Suflera","Mikromusic","Madison Beer","Kombii","Kasia Cerekwicka","Galantis","Marko Polo","French Montana","Xxanaxx","Alessia Cara","Zeamsone","Reni Jusis"
