"Country","Score"
"Singapore",616
"Chinese Taipei",612
"Korea, Rep. of",607
"Japan",594
"Hong Kong SAR",578
"Russian Federation",543
"Ireland",524
"Lithuania",520
"Israel",519
"Australia",517
"Hungary",517
"United States",515
"England",515
"Finland",509
"Norway (9)",503
"Sweden",503
"Cyprus",501
"Portugal",500
"TIMSS Scale Centerpoint",500
"Italy",497
"Turkey",496
"Kazakhstan",488
"France",483
"New Zealand",482
"Bahrain",481
"Romania",479
"United Arab Emirates",473
"Georgia",461
"Malaysia",461
"Iran, Islamic Rep. of",446
"Qatar",443
"Chile",441
"Lebanon",429
"Jordan",420
"Egypt",413
"Oman",411
"Kuwait",403
"Saudi Arabia",394
"South Africa (9)",389
"Morocco",388
"Moscow City, Russian Fed.",575
"Quebec, Canada",543
"Dubai, UAE",537
"Ontario, Canada",530
"Western Cape, RSA (9)",441
"Abu Dhabi, UAE",436
"Gauteng, RSA (9)",421
